ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),HOMO_n(eV),LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),HOMO_p(eV),LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,n(labels),p(labels)
42,19,5.4,5,10.4,0.561,0.93,-5.8,-3.75,2.05,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2cc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCC)CCCCC)C9=O)C=CC6C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C3)C76)ccc2C2C=C(c3cc6c7c(ccc8c9c%10c(c3c78)C=CC3C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=9)C%103)C(=O)N(C(CCCCC)CCCCC)C6=O)C=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,3120.26,-5.41,-3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,365,153
43,19,6.7,6.5,12.4,0.622,0.87,-5.81,-3.84,1.97,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)cc(-c2cc3c6c(ccc7c8c9c(c2c76)=CC=C2C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C8)C29)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,2174.96,-5.41,-3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,593,153
44,19,7.3,7,13.6,0.597,0.9,-5.84,-3.77,2.07,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)c2)cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,2956.05,-5.41,-3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,25,153
45,20,1.57,1.57,3.94,0.46,0.87,-5.51,-3.84,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.51,-3.82,1.69,CCCCCCC(CCCC)COc1c(OCC(CCCC)CCCCCC)c(-c2cc3sc(C)cc3s2)c2nsnc2c1C,123.2,44,2.8,21,116
46,20,5.41,5.41,10.42,0.59,0.88,-5.51,-3.84,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.49,-3.73,1.76,CCCCCCC(CCCC)COc1c(OCC(CCCC)CCCCCC)c(-c2ccc(-c3ccc(C)s3)s2)c2nsnc2c1C,77,35,2.2,21,125
47,20,2.46,2.46,7.04,0.38,0.92,-5.51,-3.84,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.57,-3.94,1.63,CCCCCCC(CCCC)COc1c(OCC(CCCC)CCCCCC)c(-c2cc(F)c(-c3sc(C)cc3F)s2)c2nsnc2c1C,108,36,3,21,253
48,21,4.71,4.6,11.55,0.47,0.85,-6.06,-3.75,2.31,CCCC(CCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCC)CCC)C(=O)C(C(c2ccc(C(c3ccc(C6=Cc7c8c(c9ccc%10c%11c(ccc7c%119)C(=O)N(C(CCC)CCC)C%10=O)=CC=C7C(=O)N(C(CCC)CCC)C(=O)C6C78)cc3)(c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)cc2)=C4)C15,2667.36,-5.04,-3.45,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,157,48
49,21,3.68,3.64,10.35,0.42,0.83,-6.06,-3.77,2.29,CCCC(CCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCC)CCC)C(=O)C(C(c2ccc([Si](c3ccc(C6=Cc7c8c(c9ccc%10c%11c(ccc7c%119)C(=O)N(C(CCC)CCC)C%10=O)=CC=C7C(=O)N(C(CCC)CCC)C(=O)C6C78)cc3)(c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)cc2)=C4)C15,2683.44,-5.04,-3.45,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,383,48
50,21,7.38,7.08,15.02,0.58,0.81,-5.94,-3.79,2.15,CCCC(CCC)N1C(=O)c2ccc3c4ccc5c6c(c(-c7ccc(-c8c9cc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)sc9c(-c9ccc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)s9)c9cc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)sc89)s7)cc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCC)CCC)C5=O,2693.38,-5.04,-3.45,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,122,48
51,21,6.61,6.32,14.36,0.55,0.81,-5.97,-3.81,2.16,CCCC(CCC)N1C(=O)c2ccc3c4ccc5c6c(c(-c7cc8c(-c9ccc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)[se]9)c9sc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)cc9c(-c9ccc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)[se]9)c8s7)cc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCC)CCC)C5=O,2787.18,-5.04,-3.45,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,417,48
52,22,4.03,3.7,6.02,0.67,1,-5.42,-3.68,1.74,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6/SC(=S)N(CC)C6=O)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5/SC(=S)N(CC)C5=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1,1810.54,-5.2,-3.2,2,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,351,163
53,22,4.81,4.64,7.34,0.69,0.95,-5.35,-3.67,1.68,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5/SC(=S)N(CC)C5=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc24)sc1-3,1618.36,-5,-3.1,1.9,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,5,163
54,23,3.26,3.26,8.96,0.42,0.87,-5.82,-3.87,1.95,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4c2cc3c(CC(CC)CCCC)c4sc(-c6cc7c8c(ccc9c%10c%11c(c6c98)=CC=C6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C%10)C6%11)C(=O)N(C(CCCCCC)CCCCCC)C7=O)cc4c(CC(CC)CCCC)c3s2)C15,1924.82,-5.29,-3.72,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,11,48
55,23,3.75,3.75,9.31,0.43,0.94,-5.9,-3.84,2.06,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c6c(c7sc8c(CC(CC)CCCC)c9c(sc%10c%11cc%12c%13c(ccc%14c%15c%16c(c(c%109)=CC9C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=CC=%15)C%169)c%11c%13%14)C(=O)N(C(CCCCCC)CCCCCC)C%12=O)c(CC(CC)CCCC)c8c7c7cc(c2c3c67)C1=O)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15,1920.79,-5.29,-3.72,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,615,48
56,23,2.97,2.97,8.39,0.4,0.89,-5.68,-3.87,1.81,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4c2cc3sc4c(CC(CC)CCCC)c6c(sc7cc(-c8cc9c%10c(ccc%11c%12c%13c(c8c%11%10)=CC=C8C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C%12)C8%13)C(=O)N(C(CCCCCC)CCCCCC)C9=O)sc76)c(CC(CC)CCCC)c4c3s2)C15,2036.99,-5.29,-3.72,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,241,48
57,23,5.59,5.59,12.5,0.47,0.95,-5.69,-3.82,1.87,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c6c(c7c(sc8c7sc7c(CC(CC)CCCC)c9c(sc%10c9sc9c%11c%12c%13c(c%14ccc%15c%16c(cc(c9%10)c%12c%16%14)C(=O)N(C(CCCCCC)CCCCCC)C%15=O)=CC=C9C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=%11)C9%13)c(CC(CC)CCCC)c78)c7cc(c2c3c67)C1=O)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15,2032.95,-5.29,-3.72,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,168,48
58,23,1.85,1.85,5.38,0.39,0.88,-5.44,-3.87,1.57,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4c2cc3c(CC(CC)CCCC)c4sc6c(sc7c(CC(CC)CCCC)c8c(sc9c8sc8c(CC(CC)CCCC)c%10cc(-c%11cc%12c%13c(ccc%14c%15c%16c(c%11c%14%13)=CC=C%11C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C%15)C%11%16)C(=O)N(C(CCCCCC)CCCCCC)C%12=O)sc%10c(CC(CC)CCCC)c89)c(CC(CC)CCCC)c76)c4c(CC(CC)CCCC)c3s2)C15,2698.13,-5.29,-3.72,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,547,48
59,23,3.69,3.69,8.89,0.43,0.98,-5.51,-3.78,1.73,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c6c(c7sc8c(CC(CC)CCCC)c9c(sc%10c9sc9c(CC(CC)CCCC)c%11c(sc%12c%11sc%11c(CC(CC)CCCC)c%13c(sc%14c%15cc%16c%17c(ccc%18c%19c%20c(c(c%14%13)=CC%13C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=CC=%19)C%20%13)c%15c%17%18)C(=O)N(C(CCCCCC)CCCCCC)C%16=O)c(CC(CC)CCCC)c%11%12)c(CC(CC)CCCC)c9%10)c(CC(CC)CCCC)c8c7c7cc(c2c3c67)C1=O)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15,2694.1,-5.29,-3.72,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,17,48
60,24,9.14,8.92,15.18,0.576,1.02,-5.47,-3.65,1.82,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3c(F)cc(-c4cc5c(s4)-c4cc6c(cc4C5(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)-c4sc(-c5cc(F)c(-c7ccc(/C=c8/sc(=C(C#N)C#N)n(CCCCCCCC)c8=O)s7)c7nsnc57)cc4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c4nsnc34)s2)c1=O,1950.71,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,105,48
61,25,9.12,9.03,16.62,0.6,0.915,-5.61,-4.02,1.59,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.38,-3.54,1.84,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2ccc(C)s2)C1=O,38.9,21.6,1.8,21,142
62,25,10.19,10.05,16.39,0.677,0.918,-5.61,-4.02,1.59,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.43,-3.58,1.85,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)cc6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)cc6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2ccc(C)s2)C1=O,54.2,19,2.85,21,68
63,26,4.86,4.85,8.53,0.662,0.86,-5.7,-3.82,1.88,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.17,-2.9,2.27,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(-c5ccc(-c6ccc(C)s6)cc5)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC,41.8,24.6,1.7,164,46
64,26,7.75,7.73,13.15,0.648,0.91,-5.7,-3.82,1.88,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.33,-2.94,2.39,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(-c5ccc(-c6ccc(C)s6)cc5F)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC,67.8,32.3,2.1,164,128
65,26,9.7,9.4,15.99,0.609,1,-5.7,-3.82,1.88,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.54,-2.98,2.56,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(-c5cc(F)c(-c6ccc(C)s6)cc5F)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC,92.4,38.5,2.4,164,123
66,26,2.93,2.91,4.82,0.574,1.06,-5.7,-3.82,1.88,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.68,-3.13,2.55,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c(F)c5F)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC,83.2,29.7,2.8,164,62
67,27,5.16,4.86,8.4,0.55,1.1,-5.52,-3.87,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6/SC(=S)N(CCC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5/SC(=S)N(CCC)C5=O)c5nsnc35)sc2-4)cc1,1546.25,-5.45,-3.69,1.76,CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)c(F)c(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1,119.3,42.6,2.8,39,149
68,28,5.57,5.25,12.13,0.57,0.76,-6.06,-3.91,2.15,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc(c8c8cc(c1=O)c2c3c8c7c4c56)c(c%13c%14%15)c9c%12c%11%10,1530.1,-5.12,-3.6,1.52,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,594,48
69,28,7.84,7.7,15.85,0.626,0.777,-5.83,-3.81,2.02,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc(-c%12cc(-c%13cc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc%16c%17c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20ccc%21c%22ccc%23c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%24cc(c%17c%17cc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26ccc%27c%13c(c%14%15)c%16c%17c%27c%26%25)c(c%22c%23%24)c%18c%21c%20%19)cc(-c%13cc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc%16c%17c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20ccc%21c%22ccc%23c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%24cc(c%17c%17cc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26ccc%27c%13c(c%14%15)c%16c%17c%27c%26%25)c(c%22c%23%24)c%18c%21c%20%19)c%12)c%12c%13ccc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc(c8c8cc(c1=O)c2c3c8c7c4c56)c(c%13c%14%15)c9c%12c%11%10,4662.37,-5.12,-3.6,1.52,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,110,48
70,28,8.28,8.17,16.77,0.617,0.79,-5.89,-3.8,2.09,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c(c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%14c1c%16%15)c1c2cc3c(=O)n(C(CCCCCC)CCCCCC)c(=O)c4cc5c6c7cc8c(=O)n(C(CCCCCC)CCCCCC)c(=O)c9ccc%10c%11ccc%12c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%14cc(c6c6cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc(c1c1c%17cc%18c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%19cc%20c%21c%22cc%23c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%24ccc%25c%26ccc%27c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%28cc(c%21c%21cc%29c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%30cc(c%131)c1c%17c(c%19%18)c%20c%21c1c%29%30)c(c%26c%27%28)c%22c%25c%24%23)c1c2c(c43)c5c6c1c%15%16)c(c%11c%12%14)c7c%10c98,4656.32,-5.12,-3.6,1.52,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,178,48
71,29,6.4,5.81,14.6,0.54,0.81,-6.2,-3.9,2.3,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16ccc%17c%18ccc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc(c%13c%13cc%21c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%22cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%13c1c%22%21)c(c%18c%19%20)c%14c%17c%16%15,2305.15,-5.1,-3.6,1.5,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,479,48
