Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
PI-FN-PI(DT),CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)c4cc(-c6ccc(-c7ccc8c(c7)C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C8=O)s6)ccc4-5)s3)cc2C1=O,[R34]N1C(C2=C(C1=O)C=CC(C3=CC=C(S3)C4=CC(C(C5=C6C=CC(C7=CC=C(S7)C8=CC(C(N(C9=O)[R34])=O)=C9C=C8)=C5)=O)=C6C=C4)=C2)=O, , , 
F9IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,[R14]C1=CC=C(C2(C3=C(C4=C2C(SC5=C6SC(/C=C7/C(C8=C(C7=O)C=C(F)C(F)=C8)=C(C#N)/C#N)=C5)=C6S4)C=C(C(C9=CC=C([R14])C=C9)(C%10=C%11SC%12=C%10SC%13=C%12SC(/C=C%14/C(C%15=C(C%14=O)C=C(F)C(F)=C%15)=C(C#N)/C#N)=C%13)C%16=CC=C([R14])C=C%16)C%11=C3)C%17=CC=C([R14])C=C%17)C=C1, , , 
4TIC-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)sc3c3sc4c5c(c6sc(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)cc6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
p-IDTIDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1, , , 
PY1,CCCCCCCCCC(CCCCCCC)n1c2cc(-c3sc(-c4sc(/C=C5\C(=O)N(CCCC)C(=O)C(C#N)=C5C)cc4CCCCCC)cc3CCCCCC)sc2c2sc(-c3sc(-c4sc(/C=C5\C(=O)N(CCCC)C(=O)C(C#N)=C5C)cc4CCCCCC)cc3CCCCCC)cc21,[R21]N1C2=C(C3=C1C=C(C4=C([R14])C=C(C5=C([R14])C=C(/C=C6C(N(C(C(C#N)=C\6C)=O)CCCC)=O)S5)S4)S3)SC(C7=C([R14])C=C(C8=C([R14])C=C(/C=C9C(N(C(C(C#N)=C\9C)=O)CCCC)=O)S8)S7)=C2, , , 
BTA2,CCCCCCCCn1nc2c(/C=C3\SC(=O)N(CC)C3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C6\SC(=O)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R2]N1N=C2C(/C=C3SC(N(C\3=O)CC)=O)=CC=C(C2=N1)C4=CC5=C(C6=C(C5(C7=CC=C([R14])C=C7)C8=CC=C([R14])C=C8)C=C(C9=C(C%10(C%11=CC=C([R14])C=C%11)C%12=CC=C([R14])C=C%12)C=C(C%13=CC=C(C%14=NN(N=C%13%14)[R2])/C=C%15SC(N(C\%15=O)CC)=O)S9)C%10=C6)S4, , , 
NTIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,[R14]C1=CC=C(C2(C3=C(C4=C5C=CC(C(C6=CC=C([R14])C=C6)(C7=C8SC(/C=C9C(C%10=C(C\9=C(C#N)/C#N)C=CC=C%10)=O)=C7)C%11=CC=C([R14])C=C%11)=C8C5=CC=C42)SC(/C=C%12C(C%13=C(C\%12=C(C#N)/C#N)C=CC=C%13)=O)=C3)C%14=CC=C([R14])C=C%14)C=C1, , , 
ITIC-Cl4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,[R14]C1=CC=C(C2(C3=C(C4=C2C5=C(C=C(S5)/C=C6C(C7=C(C\6=C(C#N)/C#N)C=C(Cl)C(Cl)=C7)=O)S4)C=C(C(C8=CC=C([R14])C=C8)(C9=C%10SC%11=C9SC(/C=C%12C(C%13=C(C\%12=C(C#N)/C#N)C=C(Cl)C(Cl)=C%13)=O)=C%11)C%14=CC=C([R14])C=C%14)C%10=C3)C%15=CC=C([R14])C=C%15)C=C1, , , 
NCBDT-4Cl,CCCCCCCCc1c2sc3c(c2c(CCCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c5cc(Cl)c(Cl)cc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4cc(Cl)c(Cl)cc4C2=C(C#N)C#N)sc1-3,[R14]C1=CC=C(C2(C3=C(C4=C2C5=C([R2])C6=C(C7=C(C8=C(C7(C9=CC=C([R14])C=C9)C%10=CC=C([R14])C=C%10)C=C(/C=C%11C(C%12=C(C\%11=C(C#N)\C#N)C=C(Cl)C(Cl)=C%12)=O)S8)S6)C([R2])=C5S4)SC(/C=C%13C(C%14=C(C\%13=C(C#N)\C#N)C=C(Cl)C(Cl)=C%14)=O)=C3)C%15=CC=C([R14])C=C%15)C=C1, , , 
IDT-FBTR,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C\c2ccc(-c3c(F)cc(-c4cc5c(s4)-c4cc6c(cc4C5(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)-c4sc(-c5cc(F)c(-c7ccc(/C=c8\sc(=C(C#N)C#N)n(CCCCCCCC)c8=O)s7)c7nsnc57)cc4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c4nsnc34)s2)c1=O,[R2]N1/C(S/C(C1=O)=C\C2=CC=C(S2)C3=C(C=C(C4=NSN=C34)C5=CC6=C(C7=C(C6(C8=CC=C([R14])C=C8)C9=CC=C([R14])C=C9)C=C(C%10=C(C%11(C%12=CC=C([R14])C=C%12)C%13=CC=C([R14])C=C%13)C=C(C%14=CC(F)=C(C%15=NSN=C%14%15)C%16=CC=C(S%16)/C=C%17S/C(N(C\%17=O)[R2])=C(C#N)/C#N)S%10)C%11=C7)S5)F)=C(C#N)\C#N, , , 
IDTO-T-4F,CCCCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c1OCCCCCCCC,[R2]OC1=C(SC2=C1C(C3=CC=C([R14])C=C3)(C4=C2C=C(C(C5=CC=C([R14])C=C5)(C6=C7SC(C8=CC=C(S8)/C=C9C(C%10=C(C\9=C(C#N)\C#N)C=C(F)C(F)=C%10)=O)=C6O[R2])C%11=CC=C([R14])C=C%11)C7=C4)C%12=CC=C([R14])C=C%12)C%13=CC=C(S%13)/C=C%14C(C%15=C(C\%14=C(C#N)\C#N)C=C(F)C(F)=C%15)=O, , , 
IDTO-Se-4F,CCCCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)c1OCCCCCCCC,[R2]OC1=C(SC2=C1C(C3=CC=C([R14])C=C3)(C4=C2C=C(C(C5=CC=C([R14])C=C5)(C6=C7SC(C8=CC=C([Se]8)/C=C9C(C%10=C(C\9=C(C#N)\C#N)C=C(F)C(F)=C%10)=O)=C6O[R2])C%11=CC=C([R14])C=C%11)C7=C4)C%12=CC=C([R14])C=C%12)C%13=CC=C([Se]%13)/C=C%14C(C%15=C(C\%14=C(C#N)\C#N)C=C(F)C(F)=C%15)=O, , , 
IDTO-TT-4F,CCCCCCCCOc1c(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)c1OCCCCCCCC,[R2]OC1=C(SC2=C1C(C3=CC=C([R14])C=C3)(C4=C2C=C(C(C5=CC=C([R14])C=C5)(C6=C7SC(C8=CC(SC(/C=C9C(C%10=C(C\9=C(C#N)\C#N)C=C(F)C(F)=C%10)=O)=C%11)=C%11S8)=C6O[R2])C%12=CC=C([R14])C=C%12)C7=C4)C%13=CC=C([R14])C=C%13)C%14=CC(SC(/C=C%15C(C%16=C(C\%15=C(C#N)\C#N)C=C(F)C(F)=C%16)=O)=C%17)=C%17S%14, , , 
NFBDT-Me,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(C)ccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cc(C)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]C1=CC=C(C2(C3=C(C4=C2C5=CC6=C(C7=C(C8=C(C7(C9=CC=C([R14])C=C9)C%10=CC=C([R14])C=C%10)C=C(/C=C%11C(C%12=C(C\%11=C(C#N)\C#N)C=CC(C)=C%12)=O)S8)S6)C=C5S4)SC(/C=C%13C(C%14=C(C\%13=C(C#N)\C#N)C=CC(C)=C%14)=O)=C3)C%15=CC=C([R14])C=C%15)C=C1, , , 
IDTT-T,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)N(CC)C(=S)N(CC)C6=O)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)sc23)cc1,[R14]C1=CC=C(C2(C3=C(C4=C2C5=C(C=C(S5)/C=C6C(N(C(N(C/6=O)CC)=S)CC)=O)S4)C=C(C(C7=CC=C([R14])C=C7)(C8=C9SC%10=C8SC(/C=C%11C(N(C(N(C/%11=O)CC)=S)CC)=O)=C%10)C%12=CC=C([R14])C=C%12)C9=C3)C%13=CC=C([R14])C=C%13)C=C1, , , 
DICTF-C10,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,[R15]C1(C2=C(C3=C1C=C(C4=CC=C(S4)/C=C5/C(C6=C(C5=O)C=CC=C6)=C(C#N)/C#N)C=C3)C=CC(C7=CC=C(S7)/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C2)[R15], , , 
